unique_id,semester,time,consent_pre,plan,level,english_first_language,reading_ability,writing_ability,prior_bio,age,race_complete,gender_complete,PELL_complete,sbu_admit_type_category,citizenship,country_citizenship,family_income,first_generation,high_school_gpa_band,high_school_gpa,cum_college_gpa,PlacementMathScore,PlacementWritingScore,SAT1600Score,SATMathScore,SATVerbalScore,SATWritingScore,SATEssayScore,SATCompScore,cins_01,cins_02,cins_03,cins_04,cins_05,cins_06,cins_07,cins_08,cins_09,cins_10,cins_11,cins_12,cins_13,cins_14,cins_15,cins_16,cins_17,cins_18,cins_19,cins_20,cins_total_pre,cans_01,cans_02,cans_03,cans_04,cans_05,cans_06,cans_07,cans_08,cans_09,cans_10,cans_11,cans_12,cans_13,cans_14,cans_15,cans_16,cans_17,cans_18,cans_19,cans_20,cans_21,cans_22,cans_23,cans_24,cans_total_pre
F13_198,F13,pre,I consent.,3,6,1,4,3,0,21,Asian,1,0,Transfer,Native,United States,NA,,90 - 94.9,92,,,,1120,590,440,550,8,1030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,
F13_195,F13,pre,I consent.,2,4,2,5,3,0,22,Asian,1,1,New,Native,United States,"$30,000-44,999",,90 - 94.9,91,,4,,1210,670,540,540,6,1210,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,
F13_073,F13,pre,I consent.,2,5,1,3,3,3,22,Asian,0,1,New,Native,United States,"$30,000-44,999",,90 - 94.9,94,,4,,1130,,,,,,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,
F13_263,F13,pre,I consent.,1,5,1,5,5,3,21,Black/African American,1,0,New,Native,United States,NA,,95 - 100,98,,,,1380,730,650,690,7,1380,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,17,,,,,,,,,,,,,,,,,,,,,,,,,
F13_240,F13,pre,I consent.,1,4,1,5,5,2,22,White,0,1,New,Native,United States,"$45,000-64,999",,90 - 94.9,90,,3,,1100,570,530,500,8,1100,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
F13_120,F13,pre,I consent.,3,5,2,5,4,3,21,Asian,1,0,New,Naturalized,Unknown,NA,,90 - 94.9,94,,3,,1240,600,640,560,8,1240,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_293,F13,pre,I consent.,1,5,2,4,5,3,22,Asian,1,1,New,Alien Permanent,Chi,"$15,000-29,999",,85 - 89.9,88,,,2,1260,770,490,490,6,1260,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_003,F13,pre,I consent.,1,5,2,4,4,3,21,Asian,1,1,Other,Naturalized,Bangladesh,"$15,000-29,999",,95 - 100,96,,3,,950,510,440,410,,950,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,
F13_150,F13,pre,I consent.,1,4,2,5,5,3,21,White,0,0,Transfer,Naturalized,South Africa,"$65,000-84,999",,90 - 94.9,93,3.11,,,1040,600,440,540,6,1040,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
F13_289,F13,pre,I consent.,1,5,1,4,4,3,21,Asian,0,1,Transfer,Native,United States,"$15,000-29,999",,85 - 89.9,89,,4,,1070,570,500,490,8,1070,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,
F13_291,F13,pre,I consent.,1,5,1,3,3,3,21,Asian,1,1,New,Native,United States,"$45,000-64,999",,90 - 94.9,93,,6,,1230,690,540,620,9,1230,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_251,F13,pre,I consent.,2,5,1,3,3,0,20,White,0,0,New,Native,United States,"105,000-124,999",,95 - 100,97.1,,4,,1150,600,540,560,9,1140,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_004,F13,pre,I consent.,1,5,2,4,4,3,20,Asian,1,0,New,Native,United States,"$145,000-164,999",,95 - 100,99.46,,5,,1370,730,640,750,11,1370,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_191,F13,pre,I consent.,1,5,1,5,5,3,20,Asian,1,0,New,Native,United States,"$45,000-64,999",,95 - 100,95,,8,,1380,740,640,740,11,1380,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
F13_296,F13,pre,I consent.,2,4,1,3,3,0,21,White,1,0,Transfer,Native,United States,"$165,000-184,999",,75 - 79.9,79,3.04,4,,1260,630,630,630,8,1260,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
F13_026,F13,pre,I consent.,2,5,2,4,4,3,20,Asian,0,0,New,Native,United States,NA,,85 - 89.9,88,,3,,1200,610,590,650,8,1200,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,
F13_129,F13,pre,I consent.,2,5,2,3,3,3,21,Asian,0,1,Other,Native,United States,NA,,90 - 94.9,94,,5,4,1170,630,540,570,8,1170,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_229,F13,pre,I consent.,1,3,1,5,4,1,20,Asian,1,1,New,Native,United States,"$30,000-44,999",,90 - 94.9,90,,4,,1130,640,490,600,9,1130,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_271,F13,pre,I consent.,1,4,1,4,4,3,21,Hispanic of any race,1,1,New,Native,United States,NA,,85 - 89.9,86,,3,,1160,590,570,540,6,1160,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
F13_238,F13,pre,I consent.,1,5,1,4,5,3,21,Asian,0,1,Other,Native,United States,"$15,000-29,999",,90 - 94.9,93,,7,,1220,640,580,640,10,1220,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_052,F13,pre,I consent.,1,5,1,5,5,3,20,White,1,0,New,Native,United States,"$125,000-144,999",,95 - 100,100,,4,,1210,,,,,,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,
F13_044,F13,pre,I consent.,1,4,1,3,3,3,21,Black/African American,0,0,Transfer,Native,United States,"$85,000-104,999",,Unknown,,3.25,,,830,450,380,400,,830,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
F13_292,F13,pre,I consent.,2,5,2,5,5,3,21,Hispanic of any race,0,1,Transfer,Native,United States,"$15,000-29,999",,80 - 84.9,83,3.07,,,950,530,420,460,8,950,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,
F13_033,F13,pre,I consent.,1,5,1,4,3,3,21,Asian,0,0,New,Native,United States,"$15,000-29,999",,95 - 100,95,,,,1280,670,610,540,10,1280,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_054,F13,pre,I consent.,1,5,1,5,5,3,21,White,0,0,New,Native,United States,"$45,000-64,999",,95 - 100,97.43,,7,,1270,680,590,610,8,1270,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_265,F13,pre,I consent.,1,3,1,5,5,1,20,White,1,0,New,Native,United States,"$65,000-84,999",,90 - 94.9,91,,3,,1270,640,600,590,,1240,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,
F13_152,F13,pre,I consent.,2,5,2,2,2,0,22,Asian,1,0,New,Naturalized,Chi,NA,,90 - 94.9,91,,,1,1170,730,440,420,6,1170,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_219,F13,pre,I consent.,1,5,2,5,4,3,21,Asian,0,1,New,Alien Permanent,Indonesia,"$15,000-29,999",,90 - 94.9,93.01,,4,,1230,650,580,580,8,1230,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_085,F13,pre,I consent.,1,5,1,3,3,3,23,White,0,1,Transfer,Native,United States,"$30,000-44,999",,Unknown,,3.4,2,,,,,,,,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,
F13_075,F13,pre,I consent.,3,3,1,5,5,0,20,White,0,1,Transfer,Native,United States,NA,,90 - 94.9,92,1.6,,,1080,520,440,500,,960,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,
F13_226,F13,pre,I consent.,1,3,2,5,5,0,20,Hispanic of any race,0,1,New,Native,United States,"$0-14,999",,85 - 89.9,85,,3,,960,440,520,450,6,960,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
F13_188,F13,pre,I consent.,2,4,1,4,4,1,19,White,1,0,New,Native,United States,NA,,95 - 100,99,4,5,,1250,660,590,590,,1250,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_246,F13,pre,I consent.,1,5,2,5,5,3,19,White,1,0,New,Native,United States,"105,000-124,999",,95 - 100,98,4,4,,1290,700,590,590,9,1290,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_283,F13,pre,I consent.,2,4,3,3,2,2,19,White,1,0,New,Native,United States,"$85,000-104,999",,90 - 94.9,90,,5,,1250,650,600,630,8,1250,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_115,F13,pre,I consent.,1,4,1,2,2,3,19,Asian,0,0,New,Alien Temporary,Cada,"$185,000+",,85 - 89.9,87,,5,,1160,650,510,550,9,1160,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_136,F13,pre,I consent.,1,4,1,4,4,3,20,White,1,0,New,Native,United States,NA,,95 - 100,99,,4,,1490,700,790,620,9,1490,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,
F13_278,F13,pre,I consent.,2,4,2,2,2,3,23,Asian,0,1,Other,Alien Permanent,Chi,"$15,000-29,999",,95 - 100,99,,,2,1150,690,460,480,8,1150,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,
F13_108,F13,pre,I consent.,1,4,1,5,5,3,20,Asian,0,0,New,Native,United States,NA,,85 - 89.9,85,,2,,1160,570,570,590,9,1140,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_116,F13,pre,I consent.,1,4,1,5,5,0,19,White,0,0,Transfer,Native,United States,"105,000-124,999",,90 - 94.9,90,3.6,,,1160,570,590,630,9,1160,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_285,F13,pre,I consent.,1,4,1,3,4,3,19,White,0,0,Other,Native,United States,"$85,000-104,999",,90 - 94.9,94,,5,,1240,690,550,590,8,1240,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,
F13_058,F13,pre,I consent.,1,4,1,5,5,3,20,White,1,0,New,Native,United States,NA,,90 - 94.9,94,,2.5,,1210,,,,,,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,
F13_232,F13,pre,I consent.,1,4,1,5,4,2,20,Asian,1,0,New,Alien Temporary,India,"$125,000-144,999",,85 - 89.9,87,,3,,1100,570,530,440,8,1100,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_014,F13,pre,I consent.,2,3,3,2,2,3,20,Asian,0,1,New,Native,United States,"$45,000-64,999",,90 - 94.9,92,,,,1180,580,600,490,8,1180,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,
F13_103,F13,pre,I consent.,2,4,2,5,5,3,19,Asian,1,0,New,Native,United States,"$30,000-44,999",,80 - 84.9,82,,4,,1380,730,650,600,8,1380,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_158,F13,pre,I consent.,1,4,1,5,5,3,20,Hispanic of any race,1,0,Transfer,Native,United States,"$145,000-164,999",,90 - 94.9,90,,,,1210,630,580,600,8,1210,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,
F13_216,F13,pre,I consent.,3,3,1,5,5,0,20,White,1,0,Transfer,Native,United States,"$125,000-144,999",,90 - 94.9,94,2.9,2.5,,1080,510,570,540,8,1080,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_171,F13,pre,I consent.,2,4,2,4,4,0,19,Hispanic of any race,1,1,New,Native,United States,"$0-14,999",,95 - 100,96,,4,,1010,570,440,500,10,1010,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
F13_059,F13,pre,I consent.,2,5,2,3,3,3,19,Asian,1,1,New,Naturalized,Unknown,"$30,000-44,999",,85 - 89.9,88,2.7,4,,1340,660,680,640,10,1340,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
F13_259,F13,pre,I consent.,1,4,1,4,4,3,19,Asian,0,0,New,Native,United States,"$65,000-84,999",,95 - 100,99,,6,,1340,670,670,650,10,1340,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,
F13_051,F13,pre,I consent.,1,3,1,5,5,3,20,White,1,0,New,Native,United States,"$85,000-104,999",,90 - 94.9,94,,4,,1120,540,480,540,9,1020,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,
F13_031,F13,pre,I consent.,1,4,2,1,1,0,20,Asian,0,1,Transfer,Naturalized,Chi,"$15,000-29,999",,90 - 94.9,92,,7,2,1140,750,390,430,7,1140,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,
F13_025,F13,pre,I consent.,2,3,1,3,3,3,19,Hispanic of any race,1,0,New,Native,United States,"$85,000-104,999",,85 - 89.9,86,,2.5,,1300,630,670,610,10,1300,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_163,F13,pre,I consent.,1,4,1,2,2,3,20,Asian,1,0,Transfer,Alien Permanent,India,"$65,000-84,999",,85 - 89.9,88,3.3,,,860,430,430,390,8,860,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
F13_112,F13,pre,I consent.,1,4,2,2,2,3,20,Asian,0,0,New,Native,United States,NA,,90 - 94.9,91,,,,1230,590,640,600,10,1230,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
F13_078,F13,pre,I consent.,1,4,1,2,3,3,20,Black/African American,0,1,New,Native,United States,"$30,000-44,999",,85 - 89.9,89,,8,,980,530,450,520,10,980,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
F13_244,F13,pre,I consent.,3,4,1,5,5,3,19,Asian,0,0,New,Native,United States,"$85,000-104,999",,95 - 100,97,,6,,1130,530,600,660,11,1130,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_079,F13,pre,I consent.,1,4,1,5,5,1,19,White,1,0,Transfer,Native,United States,NA,,90 - 94.9,91,3.47,,,,,,,,,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_048,F13,pre,I consent.,1,4,1,5,5,2,22,White,0,0,Transfer,Native,United States,NA,,95 - 100,96,3.46,,,1250,650,600,640,,1250,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,
F13_089,F13,pre,I consent.,2,3,1,5,5,2,19,Asian,1,0,Transfer,Native,United States,"$185,000+",,Unknown,,2.5,3,,1120,610,510,540,8,1120,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,
F13_161,F13,pre,I consent.,1,5,1,5,5,3,20,White,1,0,New,Native,United States,"$65,000-84,999",,95 - 100,99,,4,,1390,670,720,670,10,1390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,
F13_008,F13,pre,I consent.,2,4,1,5,4,2,19,Asian,0,0,New,Native,United States,"$85,000-104,999",,95 - 100,96,,3,,1100,530,570,660,11,1100,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,
F13_102,F13,pre,I consent.,2,4,1,3,3,0,20,Asian,0,1,New,Native,United States,"$45,000-64,999",,95 - 100,95,,3,,1150,570,580,580,,1150,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
F13_224,F13,pre,I consent.,1,4,1,4,4,3,20,Asian,1,1,New,Native,United States,NA,,85 - 89.9,87,,4,,1350,670,680,660,10,1350,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
